id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
473,526,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
474,527,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
475,528,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
476,496,,1998,1999,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
477,461,,2000,2005,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
478,529,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
479,530,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
480,531,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
481,532,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
482,533,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
483,534,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
484,535,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
485,536,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
486,537,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
487,538,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
488,539,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
489,540,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
490,541,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
491,542,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
492,543,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
493,544,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
494,545,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
495,546,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
496,547,,1952,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
